date,customer_id,item_id,quantity,selling_price,other_discount,coupon_discount,brand,brand_type,category
2012-01-02,464,5525,1,106.5,-35.62,-35.62,984,Established,Packaged Meat
2012-01-02,464,8145,1,39.18,-24.58,-14.25,1709,Established,Grocery
2012-01-02,464,16381,1,48.8,-14.96,-35.62,56,Local,Grocery
2012-01-02,464,17861,3,75.51,-32.06,-26.71,124,Established,Grocery
2012-01-02,464,19583,2,124.67,-45.59,-35.62,1124,Established,Grocery
2012-01-02,464,20697,1,92.26,-21.37,-35.62,908,Established,Grocery
2012-01-02,464,25234,1,89.05,-38.83,-35.62,56,Local,Grocery
2012-01-02,464,28739,2,134.64,0.0,-35.62,2113,Established,Grocery
2012-01-02,464,45277,1,71.24,-53.07,-35.62,714,Established,Grocery
2012-01-02,464,52419,2,38.83,0.0,-21.02,771,Established,Pharmaceutical
2012-01-02,464,56511,1,73.02,-17.45,-19.59,487,Established,"Dairy, Juices & Snacks"
2012-01-03,1457,27564,2,54.5,-35.62,-19.59,743,Established,Grocery
2012-01-04,86,48861,3,151.38,-66.61,-80.14,1699,Established,Grocery
2012-01-07,439,11761,1,195.55,-35.62,-17.81,686,Established,Grocery
2012-01-07,439,22086,1,167.06,0.0,-17.81,406,Established,Grocery
2012-01-07,439,36270,1,79.79,0.0,-8.9,451,Established,Pharmaceutical
2012-01-07,974,34244,1,19.23,-32.06,-8.9,278,Established,Grocery
2012-01-09,1457,53434,1,55.21,-53.07,-19.59,350,Established,Packaged Meat
2012-01-09,368,35988,1,90.47,0.0,-19.59,408,Established,Pharmaceutical
2012-01-09,1468,27656,1,102.94,0.0,-102.94,501,Established,Grocery
2012-01-11,781,57530,1,277.48,-42.74,-71.24,56,Local,Prepared Food
2012-01-11,632,4594,1,70.88,0.0,-35.62,1183,Established,Grocery
2012-01-11,632,10801,1,45.95,0.0,-17.81,475,Established,Grocery
2012-01-11,632,29030,1,49.51,0.0,-21.37,475,Established,Grocery
2012-01-11,632,31889,1,21.02,0.0,-10.69,757,Established,Grocery
2012-01-11,632,33307,3,356.2,-134.29,-35.62,89,Established,Grocery
2012-01-11,632,51918,1,426.73,-107.22,-71.24,673,Established,Pharmaceutical
2012-01-13,1140,7482,6,267.15,-51.29,-35.62,681,Established,Grocery
2012-01-14,1114,12013,1,102.94,0.0,-10.69,209,Established,Grocery
2012-01-14,1114,15115,1,72.66,0.0,-8.9,1134,Established,Grocery
2012-01-14,1114,21511,1,81.57,0.0,-14.25,1124,Established,Grocery
2012-01-14,1114,32655,1,159.93,-39.18,-35.62,1186,Established,Grocery
2012-01-14,1114,32770,1,24.58,0.0,-14.25,1124,Established,Grocery
